corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
st,_geladen,895,42536,0,895,4104,0
st,_geladen,895,42536,0,4112,6680,0
st,_geladen,895,42536,0,6687,7628,0
st,_geladen,895,42536,0,7635,9249,0
st,_geladen,895,42536,0,9257,9869,0
st,_geladen,895,42536,0,9876,11705,0
st,_geladen,895,42536,0,11712,13857,0
st,_geladen,895,42536,0,13864,14302,0
st,_geladen,895,42536,0,14309,15327,0
st,_geladen,895,42536,0,15334,17933,0
st,_geladen,895,42536,0,17940,18581,0
st,_geladen,895,42536,0,18588,20365,0
st,_geladen,895,42536,0,20372,22262,0
st,_geladen,895,42536,0,22269,23076,0
st,_geladen,895,42536,0,23084,24870,0
st,_geladen,895,42536,0,24877,26248,0
st,_geladen,895,42536,0,26255,28332,0
st,_geladen,895,42536,0,28339,32338,0
st,_geladen,895,42536,0,32345,34133,0
st,_geladen,895,42536,0,34140,34820,0
st,_geladen,895,42536,0,34827,35903,0
st,_geladen,895,42536,0,35911,41188,0
st,_geladen,895,42536,0,41195,42536,0
